	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
3HAD100No2	0.021867202505544032	0.9997414906026062	7.664251444124466e-05	0.0001520534770367485	0.00030786403272199794	0.0004508466695053147	0.06899029261684911	0.06898944425925858	0.06899513964052642	0.06898993977626491	0.0011109173701711	0.0022040107536645723	0.004462111886808394	0.006534962502756418
3HAD120No1	0.02186720250554404	0.9997414906026062	4.4246256819666204e-05	8.778153019038451e-05	0.00017773204802405318	0.0002602769190266549	0.039828575920863425	0.03982808615812404	0.03983137414135502	0.03982837222353932	0.0011109173701711152	0.0022040107536645728	0.004462111886808406	0.0065349625027564225
3HAD121No2	0.02186720250554406	0.9997414906026062	3.239625762157905e-05	6.427194684636388e-05	0.0001301319846979454	0.0001905697504786598	0.029161716695985634	0.02916135810113448	0.02916376549917134	0.02916156755272555	0.0011109173701711011	0.002204010753664572	0.004462111886808409	0.006534962502756421
3HAD140No2	0.021867202505544057	0.9997414906026062	2.7486036959388547e-05	5.453040678668666e-05	0.00011040820155176791	0.00016168556461623092	0.024741747403909203	0.02474144316039294	0.02474348567506208	0.024741620865924262	0.0011109173701711037	0.002204010753664566	0.004462111886808401	0.006534962502756422
3HAD141No2	0.02186720250554406	0.9997414906026062	3.239625762157905e-05	6.427194684636388e-05	0.0001301319846979454	0.0001905697504786598	0.029161716695985634	0.02916135810113448	0.02916376549917134	0.02916156755272555	0.0011109173701711011	0.002204010753664572	0.004462111886808409	0.006534962502756421
3HAD160No2	0.021867202505544043	0.9997414906026062	2.7486036959388624e-05	5.453040678668671e-05	0.0001104082015517679	0.00016168556461623092	0.0247417474039092	0.02474144316039294	0.02474348567506208	0.024741620865924262	0.0011109173701711072	0.0022040107536645676	0.0044621118868084005	0.006534962502756422
3HAD161No2	0.02186720250554406	0.9997414906026062	3.239625762157905e-05	6.427194684636388e-05	0.0001301319846979454	0.0001905697504786598	0.029161716695985634	0.02916135810113448	0.02916376549917134	0.02916156755272555	0.0011109173701711011	0.002204010753664572	0.004462111886808409	0.006534962502756421
3HAD40No2	0.021867202505544005	0.9997414906026062	7.664251444124469e-05	0.0001520534770367487	0.00030786403272199794	0.0004508466695053141	0.06899029261684911	0.06898944425925858	0.06899513964052642	0.06898993977626493	0.0011109173701711003	0.002204010753664575	0.004462111886808394	0.006534962502756408
3HAD60No2	0.021867202505544005	0.9997414906026062	7.664251444124469e-05	0.0001520534770367487	0.00030786403272199794	0.00045084666950531406	0.06899029261684911	0.06898944425925858	0.06899513964052642	0.06898993977626493	0.0011109173701711003	0.002204010753664575	0.004462111886808394	0.006534962502756407
3HAD80No2	0.021867202505544026	0.9997414906026062	7.66425144412446e-05	0.0001520534770367486	0.0003078640327219979	0.00045084666950531455	0.06899029261684911	0.06898944425925857	0.06899513964052642	0.06898993977626491	0.001110917370171099	0.002204010753664574	0.004462111886808393	0.0065349625027564156
3OAR100No1	0.021867202505544032	0.9997414906026062	7.664251444124466e-05	0.0001520534770367485	0.00030786403272199794	0.0004508466695053147	0.06899029261684911	0.06898944425925858	0.06899513964052642	0.06898993977626491	0.0011109173701711	0.0022040107536645723	0.004462111886808394	0.006534962502756418
3OAR120No1	0.02186720250554404	0.9997414906026062	4.4246256819666204e-05	8.778153019038451e-05	0.00017773204802405318	0.0002602769190266549	0.039828575920863425	0.03982808615812404	0.03983137414135502	0.03982837222353932	0.0011109173701711152	0.0022040107536645728	0.004462111886808406	0.0065349625027564225
3OAR121No1	0.02186720250554406	0.9997414906026062	3.239625762157905e-05	6.427194684636388e-05	0.0001301319846979454	0.0001905697504786598	0.029161716695985634	0.02916135810113448	0.02916376549917134	0.02916156755272555	0.0011109173701711011	0.002204010753664572	0.004462111886808409	0.006534962502756421
3OAR140No1	0.02186720250554404	0.9997414906026062	4.424625681966619e-05	8.778153019038459e-05	0.0001777320480240532	0.0002602769190266549	0.039828575920863425	0.03982808615812404	0.03983137414135502	0.03982837222353932	0.001110917370171115	0.002204010753664575	0.004462111886808407	0.0065349625027564225
3OAR141No1	0.02186720250554406	0.9997414906026062	3.239625762157905e-05	6.427194684636388e-05	0.0001301319846979454	0.0001905697504786598	0.029161716695985634	0.02916135810113448	0.02916376549917134	0.02916156755272555	0.0011109173701711011	0.002204010753664572	0.004462111886808409	0.006534962502756421
3OAR160No1	0.021867202505544043	0.9997414906026062	2.7486036959388624e-05	5.453040678668671e-05	0.0001104082015517679	0.00016168556461623092	0.0247417474039092	0.02474144316039294	0.02474348567506208	0.024741620865924262	0.0011109173701711072	0.0022040107536645676	0.0044621118868084005	0.006534962502756422
