	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
3HAD100No2	0.1682762172893026	0.9991066634493494	0.0005431664317373798	0.0010912148776072224	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265255	0.01582649325620318	0.032369423327907806	0.05058175046266657
3HAD120No1	0.5458701348257678	0.9998185466019515	0.0010540469065248277	0.0021140720006087026	0.004270879963042583	0.006516633641850651	0.0398276956899767	0.03982279695463228	0.03980476837740399	0.0397646769879024	0.026465174252852802	0.05308697937558575	0.10729568685210684	0.16387995918672257
3HAD121No2	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3HAD140No2	0.8396055534931932	0.999764835232044	0.0010038654550108403	0.0020119144691954976	0.004062829589555755	0.00619823450117353	0.02473890393809124	0.0247267055381054	0.02467775481239582	0.024584745304278132	0.04057841275114692	0.08136605445052159	0.16463530091947287	0.25211709230499696
3HAD141No2	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3HAD160No2	0.8396055534931932	0.999764835232044	0.0010038654550108403	0.002011914469195497	0.004062829589555756	0.00619823450117353	0.02473890393809124	0.0247267055381054	0.024677754812395817	0.024584745304278132	0.04057841275114692	0.08136605445052157	0.16463530091947293	0.25211709230499696
3HAD161No2	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3HAD40No2	0.16827621728930264	0.9991066634493494	0.0005431664317373793	0.0010912148776072222	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265248	0.015826493256203177	0.032369423327907806	0.05058175046266657
3HAD60No2	0.16827621728930264	0.9991066634493494	0.0005431664317373793	0.0010912148776072222	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265248	0.015826493256203177	0.032369423327907806	0.05058175046266657
3HAD80No2	0.16827621728930264	0.9991066634493494	0.0005431664317373794	0.0010912148776072222	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.00787427263926525	0.015826493256203177	0.032369423327907806	0.05058175046266657
3OAR100No1	0.1682762172893026	0.9991066634493494	0.0005431664317373798	0.0010912148776072224	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265255	0.01582649325620318	0.032369423327907806	0.05058175046266657
3OAR120No1	0.5458701348257678	0.9998185466019515	0.0010540469065248277	0.0021140720006087026	0.004270879963042583	0.006516633641850651	0.0398276956899767	0.03982279695463228	0.03980476837740399	0.0397646769879024	0.026465174252852802	0.05308697937558575	0.10729568685210684	0.16387995918672257
3OAR121No1	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3OAR140No1	0.5458701348257676	0.9998185466019515	0.0010540469065248275	0.0021140720006087026	0.004270879963042582	0.006516633641850651	0.0398276956899767	0.03982279695463228	0.03980476837740399	0.0397646769879024	0.026465174252852795	0.05308697937558575	0.10729568685210682	0.16387995918672257
3OAR141No1	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3OAR160No1	0.8396055534931932	0.999764835232044	0.0010038654550108403	0.002011914469195497	0.004062829589555756	0.00619823450117353	0.02473890393809124	0.0247267055381054	0.024677754812395817	0.024584745304278132	0.04057841275114692	0.08136605445052157	0.16463530091947293	0.25211709230499696
3OAR161No1	0.7733700250544854	0.9996101365313041	0.0010780218192809655	0.0021617901164515682	0.0043752418004246365	0.006696609721790838	0.02915219065900067	0.029125823560498	0.029017030053108437	0.028831265582399176	0.036979101567042226	0.07422245458437451	0.15078186128686663	0.23226901721161225
3OAR40No1	0.16827621728930264	0.9991066634493494	0.0005431664317373793	0.0010912148776072222	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265248	0.015826493256203177	0.032369423327907806	0.05058175046266657
3OAR60No1	0.16827621728930264	0.9991066634493494	0.0005431664317373793	0.0010912148776072222	0.0022277219275851994	0.0034697028498424038	0.06897988634897742	0.06894862051513033	0.06882179843051248	0.06859594257030162	0.007874272639265248	0.015826493256203177	0.032369423327907806	0.05058175046266657
