	Stdev_slope	R2	Stdev_0.05	Stdev_0.1	Stdev_0.2	Stdev_0.3	Mean_0.05	Mean_0.1	Mean_0.2	Mean_0.3	Stdevnorm_0.05	Stdevnorm_0.1	Stdevnorm_0.2	Stdevnorm_0.3
3HAD100No2	0.046904847125976715	0.9999999694190184	0.00016178798028249533	0.00032372716914178895	0.0006471850008146564	0.0009709883163544542	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146576	0.004692362029001383	0.009380235226443295	0.014072028668808148
3HAD120No1	0.046904847125976756	0.9999999694190184	9.340132664100069e-05	0.00018688994704540508	0.00037362440369611394	0.0005605583105868701	0.039828005990186266	0.039828543895445906	0.039831027119964904	0.03983493238820605	0.002345116817146584	0.00469236202900138	0.009380235226443318	0.014072028668808157
3HAD121No2	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3HAD140No2	0.0469048471259768	0.9999999694190184	5.80214576472245e-05	0.00011609714269761739	0.00023209769384054517	0.0003482221446546201	0.024741393359594882	0.02474172750953004	0.024743270103317942	0.024745696079093694	0.0023451168171465726	0.00469236202900137	0.009380235226443335	0.014072028668808158
3HAD141No2	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3HAD160No2	0.04690484712597684	0.9999999694190184	5.802145764722439e-05	0.00011609714269761717	0.0002320976938405449	0.0003482221446546204	0.024741393359594882	0.02474172750953004	0.024743270103317935	0.024745696079093694	0.0023451168171465682	0.004692362029001361	0.009380235226443327	0.01407202866880817
3HAD161No2	0.046904847125976805	0.9999999694190184	6.838665364149491e-05	0.00013683722209638285	0.0002735605971185427	0.00041043000576758475	0.02916129940371345	0.029161693247591325	0.029163511416788728	0.02916637077902896	0.0023451168171465787	0.004692362029001359	0.00938023522644329	0.014072028668808181
3HAD40No2	0.04690484712597669	0.9999999694190184	0.00016178798028249574	0.00032372716914178895	0.0006471850008146561	0.0009709883163544541	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146582	0.004692362029001383	0.00938023522644329	0.014072028668808146
3HAD60No2	0.046904847125976694	0.9999999694190184	0.0001617879802824958	0.0003237271691417889	0.0006471850008146563	0.0009709883163544541	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.002345116817146583	0.004692362029001382	0.009380235226443294	0.014072028668808146
3HAD80No2	0.046904847125976715	0.9999999694190184	0.00016178798028249527	0.00032372716914178895	0.0006471850008146564	0.0009709883163544542	0.06898930539389976	0.06899023714303727	0.06899453853675369	0.06900130316723506	0.0023451168171465756	0.004692362029001383	0.009380235226443295	0.014072028668808148
